============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(50 MeV) ==> None+None(  1 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  942  1 ,4016679E+08   1000000E+01  ,6686E+04 -,7000E+05   ,9999557 -,0014215  ,0093065
T  943  1 ,4107472E+08   1000000E+01 -,1542E+06  ,1177E+06   ,9987707 -,0211667  ,0448224
T  944  1 ,4074432E+08   1000000E+01  ,4954E+05 -,5208E+05   ,9999464 -,0095126 -,0040887
T  945  1 ,4038360E+08   1000000E+01 -,2807E+05  ,9135E+05   ,9996837 -,0069348  ,0241736
T  946  1 ,4031043E+08   1000000E+01  ,4812E+06 -,3269E+05   ,9979545  ,0618426 -,0161967
T  947  1 ,4024646E+08   1000000E+01 -,6579E+05 -,5086E+05   ,9997772 -,0188687 -,0094586
T  948  1 ,4039154E+08   1000000E+01 -,1006E+06  ,1477E+06   ,9997367 -,0068224  ,0219099
T  949  1 ,4097838E+08   1000000E+01 -,2588E+05  ,5506E+05   ,9999341  ,0087924 -,0073843
T  950  1 ,4070269E+08   1000000E+01 -,9268E+05 -,7071E+05   ,9999823 -,0047379 -,0036119
T  951  1 ,4072620E+08   1000000E+01  ,2057E+05  ,3715E+05   ,9993866  ,0347887  ,0040243
T  952  1 ,4023320E+08   1000000E+01  ,9177E+05  ,7277E+05   ,9995163  ,0302679 -,0071431
T  953  1 ,4102575E+08   1000000E+01 -,1932E+05  ,1362E+06   ,9997590  ,0080138  ,0204388
T  954  1 ,4063208E+08   1000000E+01  ,2492E+06  ,4114E+05   ,9996174  ,0275369 -,0026193
T  955  1 ,4079593E+08   1000000E+01 -,6273E+05 -,1156E+06   ,9999853  ,0029049 -,0045759
T  956  1 ,4098132E+08   1000000E+01 -,1070E+06  ,3957E+05   ,9999440 -,0104939  ,0013880
T  957  1 ,4013947E+08   1000000E+01  ,9458E+05 -,9124E+05   ,9996887  ,0172152 -,0180588
T  958  1 ,4054816E+08   1000000E+01  ,4669E+05  ,1704E+06   ,9994791  ,0020913  ,0322061
T  959  1 ,4071612E+08   1000000E+01  ,2696E+04 -,3867E+04   ,9987659  ,0087733  ,0488843
T  960  1 ,4114493E+08   1000000E+01  ,1085E+05  ,5755E+05   ,9999504 -,0092114  ,0037927
T  961  1 ,4074153E+08   1000000E+01 -,1224E+06  ,6727E+05   ,9995582 -,0294070  ,0043266
T  962  1 ,4077521E+08   1000000E+01 -,8757E+04 -,4294E+05   ,9999956 -,0002108  ,0029688
T  963  1 ,4019618E+08   1000000E+01 -,6636E+05  ,2323E+05   ,9998484 -,0156261  ,0076756
T  964  1 ,4006696E+08   1000000E+01  ,9367E+04  ,4706E+05   ,9999303 -,0019966  ,0116336
T  965  1 ,4109488E+08   1000000E+01  ,2062E+05 -,7298E+05   ,9999922 -,0009273 -,0038393
T  966  1 ,4001135E+08   1000000E+01 -,1052E+06  ,4140E+05   ,9998767 -,0147745  ,0053147
T  967  1 ,4052065E+08   1000000E+01 -,1194E+06 -,2194E+05   ,9997740 -,0212198  ,0012887
T  968  1 ,4061984E+08   1000000E+01 -,6710E+04  ,2582E+05   ,9998120  ,0024881  ,0192301
T  969  1 ,4139313E+08   1000000E+01 -,8153E+05 -,2041E+06   ,9993427 -,0134207 -,0336748
T  970  1 ,4022977E+08   1000000E+01  ,2406E+05 -,4818E+05   ,9999646  ,0044308 -,0071535
T  971  1 ,4091596E+08   1000000E+01  ,1640E+06  ,1054E+06   ,9995658  ,0245547  ,0162865
T  972  1 ,4088299E+08   1000000E+01 -,1004E+06 -,9650E+05   ,9995650 -,0241918 -,0168701
T  973  1 ,4052524E+08   1000000E+01 -,5778E+05  ,8997E+05   ,9997207 -,0210492  ,0107469
T  974  1 ,4054266E+08   1000000E+01 -,7204E+05  ,4251E+05   ,9996106 -,0200514  ,0194051
T  975  1 ,4103647E+08   1000000E+01 -,6434E+05 -,8477E+03   ,9997699 -,0214243 -,0010767
T  976  1 ,4032155E+08   1000000E+01  ,1855E+05  ,4967E+05   ,9999567  ,0085986  ,0035521
T  977  1 ,4069332E+08   1000000E+01 -,1331E+05 -,1592E+06   ,9997765  ,0102515 -,0184913
T  978  1 ,4046197E+08   1000000E+01  ,1654E+06  ,6099E+05   ,9998816  ,0088262  ,0126031
T  979  1 ,4124223E+08   1000000E+01  ,6414E+05 -,8240E+05   ,9997049  ,0164010 -,0179171
T  980  1 ,4078268E+08   1000000E+01  ,6837E+05  ,2367E+05   ,9996865  ,0245896 -,0047171
T  981  1 ,4105205E+08   1000000E+01  ,2019E+05  ,5053E+05   ,9999953  ,0014276  ,0026956
T  982  1 ,4069418E+08   1000000E+01  ,1461E+06  ,1030E+06   ,9998007  ,0180461  ,0085409
T  983  1 ,4011752E+08   1000000E+01 -,1270E+05 -,1512E+06   ,9997248  ,0042377 -,0230749
T  984  1 ,4047695E+08   1000000E+01 -,2975E+05 -,2223E+06   ,9996915  ,0010637 -,0248132
T  985  1 ,4033184E+08   1000000E+01 -,7316E+05 -,5134E+05   ,9995602  ,0009623 -,0296377
T  986  1 ,4016066E+08   1000000E+01  ,7642E+03 -,1282E+06   ,9998782  ,0024989 -,0154071
T  987  1 ,4022182E+08   1000000E+01  ,1211E+06 -,8596E+05   ,9996726  ,0230548 -,0110950
